Altium Designer Pick and Place Locations
C:\Users\kugli\Documents\Projektek\LED_control\Project Outputs for LED_control\Pick Place for LED_control.csv

========================================================================================================================
File Design Information:

Date:       16/10/25
Time:       15:02
Revision:   374fd43416fae37e7052e46ab27146725044108c
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D36","SK34SMA-3G","BottomLayer","DO-214AC(SMA)","88.1250","27.5000","180","Rectifier Diode, Schottky, 1 Phase, 1 Element, 3A, 40V V(RRM), Silicon, DO-214AC (SMA)"
"D35","SK34SMA-3G","BottomLayer","DO-214AC(SMA)","67.5625","17.7500","180","Rectifier Diode, Schottky, 1 Phase, 1 Element, 3A, 40V V(RRM), Silicon, DO-214AC (SMA)"
"D34","SK34SMA-3G","BottomLayer","DO-214AC(SMA)","50.0000","23.4375","90","Rectifier Diode, Schottky, 1 Phase, 1 Element, 3A, 40V V(RRM), Silicon, DO-214AC (SMA)"
"D33","SK34SMA-3G","BottomLayer","DO-214AC(SMA)","31.0010","22.7500","90","Rectifier Diode, Schottky, 1 Phase, 1 Element, 3A, 40V V(RRM), Silicon, DO-214AC (SMA)"
"R71","10k/1%/0603","TopLayer","R0603","71.5000","66.0000","0","0603 1% resistor, 100mW"
"R70","10k/1%/0603","TopLayer","R0603","71.5000","64.7500","0","0603 1% resistor, 100mW"
"R69","10k/1%/0603","TopLayer","R0603","71.5000","63.5000","0","0603 1% resistor, 100mW"
"R68","10k/1%/0603","TopLayer","R0603","71.5000","62.2500","0","0603 1% resistor, 100mW"
"D32","SR190BC-B4-1BJ","TopLayer","LED0603_BLUE","69.0000","66.0000","180","0603 blue LED, 200-400mcd, 3.2V@20mA"
"D31","SR190BC-B4-1BJ","TopLayer","LED0603_BLUE","69.0000","64.7500","180","0603 blue LED, 200-400mcd, 3.2V@20mA"
"D30","SR190BC-B4-1BJ","TopLayer","LED0603_BLUE","69.0000","63.5000","180","0603 blue LED, 200-400mcd, 3.2V@20mA"
"D29","SR190BC-B4-1BJ","TopLayer","LED0603_BLUE","69.0000","62.2500","180","0603 blue LED, 200-400mcd, 3.2V@20mA"
"R67","53.6k/1%/0603","TopLayer","R0603","12.0000","7.5000","90","0603 1% resistor, 100mW"
"D28","LSQ976-NR-1","TopLayer","LED0603_RED","12.0000","5.0000","270","Single Color LED, Super Red, Colorless Diffused, 1mm"
"C1","10µF/10V/X5R","TopLayer","C0603","54.2500","66.7500","90","0603 capacitor"
"P7","DG128-5.0-02P-14-00AH","TopLayer","Sorkapocs_5mm","84.4400","90.9800","180","Degson DG128-5.0-02P-14-00AH 2-Way PCB Screw Terminal Block 5.0mm Green"
"C4","22201C106MAT2A","BottomLayer","FP-2220-L_5_7_0_5-W_5_0_4-IPC_B","79.5000","96.0000","0","Ceramic Capacitor, Multilayer, Ceramic, 100V, 20% +Tol, 20% -Tol, X7R, 15% TC, 10uF, Surface Mount, 2220"
"C41","22201C106MAT2A","BottomLayer","FP-2220-L_5_7_0_5-W_5_0_4-IPC_B","59.5000","96.0000","0","Ceramic Capacitor, Multilayer, Ceramic, 100V, 20% +Tol, 20% -Tol, X7R, 15% TC, 10uF, Surface Mount, 2220"
"C40","22201C106MAT2A","BottomLayer","FP-2220-L_5_7_0_5-W_5_0_4-IPC_B","39.5000","96.0000","0","Ceramic Capacitor, Multilayer, Ceramic, 100V, 20% +Tol, 20% -Tol, X7R, 15% TC, 10uF, Surface Mount, 2220"
"C39","22201C106MAT2A","BottomLayer","FP-2220-L_5_7_0_5-W_5_0_4-IPC_B","75.5000","32.0000","90","Ceramic Capacitor, Multilayer, Ceramic, 100V, 20% +Tol, 20% -Tol, X7R, 15% TC, 10uF, Surface Mount, 2220"
"C38","22201C106MAT2A","BottomLayer","FP-2220-L_5_7_0_5-W_5_0_4-IPC_B","11.0000","32.0000","90","Ceramic Capacitor, Multilayer, Ceramic, 100V, 20% +Tol, 20% -Tol, X7R, 15% TC, 10uF, Surface Mount, 2220"
"C5","22201C106MAT2A","BottomLayer","FP-2220-L_5_7_0_5-W_5_0_4-IPC_B","54.0000","32.0000","90","Ceramic Capacitor, Multilayer, Ceramic, 100V, 20% +Tol, 20% -Tol, X7R, 15% TC, 10uF, Surface Mount, 2220"
"C3","22201C106MAT2A","BottomLayer","FP-2220-L_5_7_0_5-W_5_0_4-IPC_B","32.5000","32.0000","90","Ceramic Capacitor, Multilayer, Ceramic, 100V, 20% +Tol, 20% -Tol, X7R, 15% TC, 10uF, Surface Mount, 2220"
"D27","MBR160","TopLayer","SOD-123","66.6250","47.5000","90","Rectifier Diode, Schottky, 1 Element, 1A, 60V, Silicon, SOD-123"
"R9","10k/1%/0603","TopLayer","R0603","4.8750","81.6250","0","0603 1% resistor, 100mW"
"C37","100nF/50V/X7R","TopLayer","C0603","69.8750","55.6250","180","0603 capacitor"
"R61","10k/1%/0603","TopLayer","R0603","69.8750","54.5000","180","0603 1% resistor, 100mW"
"C20","100nF/50V/X7R","TopLayer","C0603","8.2500","42.5000","0","0603 capacitor"
"C19","10µF/10V/X5R","TopLayer","C0603","8.2500","41.2500","0","0603 capacitor"
"R56","10k/1%/0603","TopLayer","R0603","69.8750","51.1250","180","0603 1% resistor, 100mW"
"C36","100nF/50V/X7R","TopLayer","C0603","69.8750","50.0000","180","0603 capacitor"
"C18","100nF/50V/X7R","TopLayer","C0603","11.0000","42.7500","180","0603 capacitor"
"R51","10k/1%/0603","TopLayer","R0603","69.8750","44.3750","180","0603 1% resistor, 100mW"
"C35","100nF/50V/X7R","TopLayer","C0603","69.8750","45.5000","180","0603 capacitor"
"D8","USBLC6-2SC6","TopLayer","STM-SOT23-6L_V","7.7500","76.1250","180","Trans Voltage Suppressor Diode, 5V V(RWM), Unidirectional, 1 Element, Silicon"
"R66","10k/1%/0603","TopLayer","R0603","87.9985","7.5000","90","0603 1% resistor, 100mW"
"R65","10k/1%/0603","TopLayer","R0603","68.9990","7.5000","90","0603 1% resistor, 100mW"
"R64","10k/1%/0603","TopLayer","R0603","50.0000","7.5000","90","0603 1% resistor, 100mW"
"R63","10k/1%/0603","TopLayer","R0603","31.0010","7.5000","90","0603 1% resistor, 100mW"
"R62","10k/1%/0603","TopLayer","R0603","2.3500","68.8399","90","0603 1% resistor, 100mW"
"D26","LTW-C191TS5","TopLayer","LED0603_WHITE","87.9985","5.0000","270","Single Color LED, White, 1.1mm, 45-180mcd, 2.7-3.15V Vf"
"D25","LTW-C191TS5","TopLayer","LED0603_WHITE","68.9990","5.0000","270","Single Color LED, White, 1.1mm, 45-180mcd, 2.7-3.15V Vf"
"D24","LTW-C191TS5","TopLayer","LED0603_WHITE","50.0000","5.0000","270","Single Color LED, White, 1.1mm, 45-180mcd, 2.7-3.15V Vf"
"D23","LTW-C191TS5","TopLayer","LED0603_WHITE","31.0010","5.0000","270","Single Color LED, White, 1.1mm, 45-180mcd, 2.7-3.15V Vf"
"D22","KPG-1608ZGC","TopLayer","LED0603_GREEN","2.3500","66.3899","270","Single Color LED, Green, Water Clear, 1.2mm"
"XF8","3557-10","TopLayer","Keystone_3557-2","75.5000","32.5000","180","Keystone 3557-10 fuse holder; 3557-2 in RED"
"XF7","3557-10","TopLayer","Keystone_3557-2","54.0000","32.5000","180","Keystone 3557-10 fuse holder; 3557-2 in RED"
"XF6","3557-10","TopLayer","Keystone_3557-2","32.5000","32.5000","180","Keystone 3557-10 fuse holder; 3557-2 in RED"
"XF5","3557-10","TopLayer","Keystone_3557-2","11.0000","32.5000","180","Keystone 3557-10 fuse holder; 3557-2 in RED"
"XF4","3557-10","TopLayer","Keystone_3557-2","82.5000","82.0000","0","Keystone 3557-10 fuse holder; 3557-2 in RED"
"XF3","3557-10","TopLayer","Keystone_3557-2","61.0000","82.0000","0","Keystone 3557-10 fuse holder; 3557-2 in RED"
"XF2","3557-10","TopLayer","Keystone_3557-2","39.5000","82.0000","0","Keystone 3557-10 fuse holder; 3557-2 in RED"
"XF1","3557-10","TopLayer","Keystone_3557-2","18.0000","82.0000","0","Keystone 3557-10 fuse holder; 3557-2 in RED"
"U8","MOCD217M","TopLayer","FP-751DZ-IPC_B","74.8750","52.7500","180","Transistor Output Optocoupler, 2-Element, 2500V Isolation"
"U7","MOCD217M","TopLayer","FP-751DZ-IPC_B","74.8750","42.6250","180","Transistor Output Optocoupler, 2-Element, 2500V Isolation"
"U6","IX4427MTR","BottomLayer","QFN65P300X300X85_HS-9N","81.5004","4.7497","180","2 Channel Gate Driver IC, 4.5-30V, DFN-8"
"U5","IX4427MTR","BottomLayer","QFN65P300X300X85_HS-9N","43.5000","4.7500","180","2 Channel Gate Driver IC, 4.5-30V, DFN-8"
"U4.4","THVD2450DR","TopLayer","FP-D0008A-IPC_B","29.4995","73.3753","180","Line Transceiver, 1 Func, 1 Driver, 1 Rcvr, PDSO8"
"U4.3","THVD2450DR","TopLayer","FP-D0008A-IPC_B","39.7496","65.8755","90","Line Transceiver, 1 Func, 1 Driver, 1 Rcvr, PDSO8"
"U4.2","THVD2450DR","TopLayer","FP-D0008A-IPC_B","59.7500","65.8750","90","Line Transceiver, 1 Func, 1 Driver, 1 Rcvr, PDSO8"
"U4.1","THVD2450DR","TopLayer","FP-D0008A-IPC_B","79.7500","65.8750","90","Line Transceiver, 1 Func, 1 Driver, 1 Rcvr, PDSO8"
"U3","CP2102N-A02-GQFN24","TopLayer","FP-CP2102N-A02-GQFN24-MFG","8.0202","68.0197","270","IC USB TO UART BRIDGE QFN24"
"U2","LDL1117S33R","TopLayer","FP-SOT223-0046067-IPC_B","43.7500","55.1250","90","Fixed Positive LDO Regulator, 3.3V, 0.6V Dropout, PDSO4"
"U1","LMR54406DBVR","TopLayer","SOT23-6","55.7500","47.0000","0","Switching Regulator, Current-mode, 0.6A, 1265kHz Switching Freq-Max, PDSO6"
